work_id;performance_id;bin;artist;title;language
2968;2968;1;Hoagy Carmichael and His Orchestra;Georgia on My Mind;English
11819;11821;1;Jo Stafford with Paul Weston and His Orchestra;Out of This World;English
9271;229140;1;Roland Gerbeau - Orchestre Pierre Guillermin;La mer;French
13204;13204;1;Carole King;You've Got a Friend;English
6437;6437;1;Nancy Sinatra;These Boots Are Made for Walkin';English
10788;10788;1;The Beatles;Got to Get You into My Life;English
5724;5724;1;Julee Cruise;Falling;English
20120;20120;1;Frank Sinatra;In the Wee Small Hours of the Morning;English
131020;260220;1;Nell Carrington;I'm Forever Blowing Bubbles;English
775;775;1;The Righteous Brothers;You've Lost That Lovin' Feelin';English
6453;6453;1;Theodore Bikel and Mary Martin;Edelweiss;English
12972;12972;1;Stevie Wonder;Don't You Worry 'Bout a Thing;English
71702;155865;1;Ray Noble and His Orchestra featuring Tony Martin;I Hadn't Anyone 'Till You;English
1478;1478;1;The Beatles;A Day in the Life;English
29060;29060;1;Isham Jones and His Orchestra;There Is No Greater Love;English
10576;239449;1;Herb Jeffries with Buddy Baker and His Orchestra;Angel Eyes;English
40120;40120;1;Janet Leigh [dubbed by Jackie Ward];A Time for Love;English
59952;229671;1;Lew Stone and His Band;Red Sails in the Sunset;English
4835;4835;1;Frank Sinatra;Young at Heart;English
2474;2474;1;The Beatles;Ticket to Ride;English
20414;20414;1;Simon and Garfunkel;Cecilia;English
10237;10237;1;The Monkees;Daydream Believer;English
17671;17671;1;Prince and The Revolution;Purple Rain;English
112910;120330;1;Eva Taylor, accomp. by Clarence Williams Blue Five;If I Could Be with You (One Hour Tonight);English
132987;273591;1;Ella Fitzgerald - Orchestra conducted by Buddy Bregman;A Beautiful Friendship;English
209;209;1;Jimi Hendrix Experience;Purple Haze;English
5438;418845;1;Hal Kemp and His Orchestra - Vocal Refrain by Skinny Ennis;A Foggy Day;English
3266;3266;1;Jules Bledsoe;Ol' Man River;English
35206;35206;1;Sydney Chaplin and Judy Holliday;Just in Time;English
34604;856524;1;Fred Astaire with Johnny Green and His Orchestra;Let's Call the Whole Thing Off;English
10745;10745;1;Morton Downey;For All We Know;English
11006;11006;1;Adelaide Hall;I Can't Give You Anything but Love (Baby);English
148;148;1;Henry Mancini and His Orchestra and Chorus;Moon River;English
3061;3061;1;The Temptations [US1];My Girl;English
9812;9812;1;Marvin Gaye;What's Going On;English
20541;434090;1;Tani Seitz;The Ballad of the Sad Young Men;English
32534;32534;1;Tex Ritter;High Noon (Do Not Forsake Me);English
7578;7578;1;Frank Sinatra;Witchcraft;English
867;867;1;Creedence Clearwater Revival;Proud Mary;English
5216;5216;1;Sam Cooke;A Change Is Gonna Come;English
20639;20639;1;The Stylistics;You Make Me Feel Brand New;English
56781;260034;1;Mrs. William Asher - Homer Rodeheaver;The Old Rugged Cross;English
156539;481769;1;The Chainsmokers ft. Halsey;Closer;English
12137;12137;1;Busby Berkeley and Joyce Barber;You Took Advantage of Me;English
142440;351320;1;Ipana Troubadours;Nagasaki;English
4702;4702;1;Ruby Elzy;My Man's Gone Now;English
144648;366483;1;Irving Kaufman;Little White Lies;English
7580;7580;1;Teddy Wilson and His Orchestra - Vocal Chorus Billie Holiday;Easy Living;English
113724;125846;1;Lady Gaga;Poker Face;English
125863;221513;1;Perry Como with Mitch Ayres and His Orchestra;(There's No Place Like) Home for the Holidays;English
12317;12317;1;Freddie Martin and His Orchestra;Close Your Eyes;English
89492;453810;1;Fiddlin' John Carson;John Henry;English
45783;45783;1;Kenny Baker [US1];Love Walked In;English
2271;2271;1;Iron Maiden;The Trooper;English
102577;121389;1;Cab Calloway & His Orchestra;I'll Be Around;English
998;998;1;The Beatles;Norwegian Wood (This Bird Has Flown);English
113615;125125;1;Coldplay;Fix You;English
20097;32552;1;The Paris Sisters;I Love How You Love Me;English
14354;26155;1;Cowboy Copas;Tennessee Waltz;English
1305;1305;1;The Supremes;You Keep Me Hangin' On;English
43012;43012;1;Billy Murray and Haydn Qartet with Orchestra;By the Light of the Silvery Moon;English
21528;21528;1;João Gilberto;Desafinado;Portuguese
4700;4700;1;Ginger Rogers and Allen Kearns;Embraceable You;English
68063;68063;1;Dorothy Squires with Orchestra directed by Billy Reid;I'll Close My Eyes;English
123591;205818;1;Isham Jones and His Orchestra;Nobody's Sweetheart;English
3264;3264;1;David Brooks and Marion Bell;Almost Like Being in Love;English
33251;200910;1;The Leighton Brothers;Frankie and Johnny;English
1033;1033;1;Elvis Presley;Don't Be Cruel;English
109642;296834;1;Frank Sinatra with Orchestra conducted by Nelson Riddle;Three Coins in the Fountain;English
32711;204506;1;Victor Young and His Orchestra - Vocal Chorus by Louanne Hogan;Too Young;English
4849;344723;1;Leo Reisman and His Orchestra;Alone Together;English
64513;64513;1;João Gilberto;Corcovado;Portuguese
30552;30552;1;Bing Crosby with Lennie Hayton and His Orchestra;Temptation;English
6693;6693;1;The Stylistics;People Make the World Go Round;English
10914;10914;1;Billie Holiday;Crazy He Calls Me;English
39520;39520;1;Pink Floyd;Us and Them;English
8203;8203;1;William Gaxton & Ethel Merman;I Get a Kick out of You;English
39783;39783;1;Isham Jones, Guest Conductor with Ray Miller's Orchestra;I'll See You in My Dreams;English
8824;8824;1;Stevie Wonder;I Was Made to Love Her;English
15300;15300;1;John Denver;Annie's Song;English
4694;4694;1;John W. Bubbles;It Ain't Necessarily So;English
3414;3414;1;Pink Floyd;Money;English
149519;402924;1;Adele;Hello;English
40419;138731;1;Gene Autry and The Cass County Boys;Frosty the Snow Man;English
6730;6730;1;Emma Carus;Alexander's Ragtime Band;English
40876;183548;1;Eva Taylor;Baby, Won't You Please Come Home;English
122183;190599;1;Harvey Hindermeyer;Take Me Out to the Ball Game;English
80336;80336;1;Jan Clayton and John Raitt with Carousel Orchestra under direction of Joseph Littau;If I Loved You;English
6031;6031;1;Ruby Hill, Harold Nicholas;Come Rain or Come Shine;English
26939;152253;1;Jill O'Hara and the Company;Good Morning Starshine;English
11534;271946;1;Gordon Jenkins and His Orchestra;My Foolish Heart;English
28784;28784;1;Diahann Carroll & Richard Kiley;The Sweetest Sounds;English
12255;12255;1;Fred Astaire with Leo Reisman and His Orchestra;Cheek to Cheek;English
11850;11850;1;Evelyn Hoey;April in Paris;English
92417;240211;1;Henry Burr;My Buddy;English
22948;22948;1;John Hundley & Lillian Taiz;With a Song in My Heart;English
98311;304295;1;Dorothy Maynor with Unaccompanied Male Choir;Go Tell It on the Mountain;English
1308;1308;1;Stevie Wonder;Signed, Sealed, Delivered I'm Yours;English
12031;12033;1;Frances Langford with Jimmy Dorsey and His Orchestra;I've Got You Under My Skin;English
12140;12140;1;Billie Holiday;Lover Man (Oh, Where Can You Be?);English
14662;14662;2;B.J. Thomas;Raindrops Keep Fallin' on My Head;English
41771;51068;2;Billy Preston;You Are So Beautiful;English
10212;10212;2;Eddy Arnold with Orchestra and Choir conducted by Charles Grean;You Don't Know Me;English
28184;463790;2;Bing Crosby with The Robert Mitchell Boys Choir;Swinging on a Star;English
13875;45558;2;Glenn Miller and His Orchestra;That Old Black Magic;English
10845;67922;2;Larry Clinton and His Orchestra - Vocal Refrain by Bea Wain;You Go to My Head;English
10846;212897;2;The Ambassadors [US2];It Had to Be You;English
99743;99743;2;Marcos Valle;Samba de Verão;Portuguese
117403;23107;2;Sergio Mendes & Brasil '66;Wave;English
2081;2081;2;The Rolling Stones;Honky Tonk Women;English
4812;492420;2;Freddy Martin and His Orchestra;Blame It on My Youth;English
6163;6163;2;Michael Jackson;I Can't Help It;English
111510;460366;2;Billy Eckstine - Orchestra conducted by Russ Case;Be My Love;English
38476;38476;2;James Ingram and Patti Austin;How Do You Keep the Music Playing?;English
54816;304727;2;Barbra Streisand;People;English
4655;4655;2;Tom Jones;It's Not Unusual;English
13440;13440;2;Cream;Sunshine of Your Love;English
19955;19955;2;Jack Jones;Wives and Lovers;English
98770;98770;2;Jackie Gleason;Call Me Irresponsible;English
134666;288542;2;Christina Perri;A Thousand Years;English
2393;2393;2;Bob Dylan;Like a Rolling Stone;English
4841;4841;2;Tamara;I'll Be Seeing You;English
4158;4158;2;Phil Collins;In the Air Tonight;English
25113;25113;2;Billy Paul;Me and Mrs. Jones;English
45675;45675;2;The Pine Ridge Boys;You Are My Sunshine;English
114394;129373;2;Marion Harris;I Ain't Got Nobody;English
34353;34353;2;Bob Crosby and His Orchestra;Fools Rush In;English
118543;161424;2;Adele;Rolling in the Deep;English
34086;34086;2;Depeche Mode;Behind the Wheel;English
83871;83871;2;Julie Andrews;Wouldn't It Be Loverly?;English
243;190379;2;Irving Kaufman;Always;English
5368;5368;2;The Beatles;The Long and Winding Road;English
64649;64649;2;Roberto Paiva w/ Luiz Bonfá on guitar and orchestra led by A.C. Jobim;Se Todos Fossem Iguais a Você;Portuguese
69073;203700;2;Vinicius de Moraes com Conjunto e Côro;Água de Beber;Portuguese
3447;3447;2;The Beatles;Day Tripper;English
114947;187814;2;Bob Thompson [US1];Who's Sorry Now?;English
4945;4945;2;Sting;Fields of Gold;English
8696;8696;2;Tim Hardin;If I Were a Carpenter;English
2911;321376;2;Claramae Turner;I Left My Heart in San Francisco;English
68472;491070;2;Vaughan's Texas Quartet;Wayfaring Stranger;English
3057;3057;2;Al Green;Let's Stay Together;English
6097;261801;2;Trash;Golden Slumbers;English
11471;510774;2;Connie Boswell;Lullaby of the Leaves;English
1894;1894;2;The Beatles;Let It Be;English
10849;294768;2;Al Bowlly;The Very Thought of You;English
17866;17866;2;The Jimi Hendrix Experience;Voodoo Child (Slight Return);English
112006;114927;2;William Frawley;My Melancholy Baby;English
10313;437698;2;Vincent Lopez and His Orchestra - Vocal Refrain by Stanley Worth;Let's Face the Music and Dance;English
6292;6292;2;The Police;Walking on the Moon;English
23165;23165;2;Survivor;Eye of the Tiger;English
64652;235595;2;Os Cariocas;Ela é Carioca;Portuguese
82146;82151;2;Ethel Waters with Edward Mallory and His Orchestra;Jeepers Creepers;English
3097;3097;2;Dobie Gray;"The ""In"" Crowd";English
25489;25489;2;Buddy Johnson and His Orchestra;Save Your Love for Me;English
140442;335574;2;Clean Bandit feat. Jess Glynne;Rather Be;English
20122;20122;2;[Unknown Studio Artists];Days of Wine and Roses;English
1616;1616;2;The Beatles;And I Love Her;English
6807;6807;2;The Lovin' Spoonful;Summer in the City;English
32408;1062243;2;Orquesta de Los Hermanos Domínguez;Perfidia;Spanish
12135;295670;2;Paul Whiteman and His Orchestra;Ramona;English
47639;47639;2;Bobby Helms;Jingle Bell Rock;English
9704;9704;2;William O'Neal;Softly, as in a Morning Sunrise;English
39055;108526;2;Bobby Vee with The Johnny Mann Singers;Go Away Little Girl;English
4829;4829;2;Vivienne Segal;Bewitched, Bothered and Bewildered;English
7247;7247;2;Bee Gees;How Deep Is Your Love;English
